coffee, 🍽️  Food, 20.0
House Bill, 🏠 Rent, 3670.0
coffee, 🍽️  Food, Rs.202.0
Savings, 💰 Savings, Rs.500.0
grocery, 🧾 Miscellaneous, Rs.670.0
Shopping, 🧾 Miscellaneous, Rs.1500.0
Medical, 💊 Medical Bills, 605.0
Movie, 🧾 Miscellaneous, 1201.0
Shopping, 🧾 Miscellaneous, 1200.0
Trampoline, 🧾 Miscellaneous, 359.0
trampoline, 🧾 Miscellaneous, 2341.0
Juice, 🍽️  Food, 30.0
Earbuds, 🧾 Miscellaneous, 1200.0
Recharge, 🧾 Miscellaneous, 349.0
coffee, 🍽️  Food, 12.0
e, 💊 Medical Bills, 2.0
tea, 🍽️  Food, 12.0
Juice, 🍽️  Food, 12.0
tea, 🍽️  Food, 12.0
insurance, 💊 Medical Bills, 200.0
water, 🍽️  Food, 20.0
